t,driver,x,y
832,HUL,9024,11480
832,LEC,-300,11685
832,MAG,-937,4372
832,NOR,-424,10585
832,OCO,-1046,3112
832,PER,-396,8303
832,PIA,-90,12317
832,RIC,-874,5105
832,RUS,-219,8356
832,SAI,-403,9816
832,STR,-1275,449
832,TSU,629,-5533
832,VER,-142,8609
832,ZHO,-1499,-3016
834,ALB,-648,7768
834,ALO,-681,7383
834,BOT,-1345,-344
834,COL,-1175,1613
834,GAS,-847,5414
834,HAM,-413,9924
834,HUL,7646,10680
834,LEC,433,13130
834,MAG,-768,6350
834,NOR,-190,12065
834,OCO,-875,5096
834,PER,-141,8576
834,PIA,967,13594
834,RIC,-710,7033
834,RUS,-168,8770
834,SAI,-383,11177
834,STR,-1114,2320
834,TSU,-62,-5795
834,VER,-280,9196
834,ZHO,-1424,-1313
836,ALB,-444,8285
836,ALO,-580,8127
836,BOT,-1197,1361
836,COL,-1018,3435
836,GAS,-705,7095
836,HAM,-382,11181
836,HUL,6405,9668
836,LEC,1800,14028
836,MAG,-653,7711
836,NOR,646,13340
836,OCO,-724,6869
836,PER,-248,9074
836,PIA,2494,14212
836,RIC,-621,7987
836,RUS,-347,9482
836,SAI,28,12557
836,STR,-968,4017
836,TSU,-705,-5515
836,VER,-425,10175
836,ZHO,-1285,334
838,ALB,-148,8491
838,ALO,-280,8327
838,BOT,-1049,3068
838,COL,-865,5211
838,GAS,-632,7919
838,HAM,6,12516
838,HUL,5183,8606
838,LEC,3390,14331
838,MAG,-503,8244
838,NOR,2097,14123
838,OCO,-634,7899
838,PER,-416,9964
838,PIA,4089,14390
838,RIC,-345,8313
838,RUS,-423,10613
838,SAI,1058,13655
838,STR,-823,5700
838,TSU,-1159,-4953
838,VER,-350,11419
838,ZHO,-1140,2016
840,ALB,-235,9024
840,ALO,-159,8731
840,BOT,-878,5058
840,COL,-699,7171
840,GAS,-345,8313
840,HAM,1271,13784
840,HUL,3746,7357
840,LEC,5328,14465
840,MAG,-150,8481
840,NOR,3966,14379
840,OCO,-336,8314
840,PER,-351,11413
840,PIA,5930,14488
840,RIC,-144,8626
840,RUS,-154,12164
840,SAI,2849,14270
840,STR,-671,7501
840,TSU,-1433,-4142
840,VER,293,12963
840,ZHO,-965,4048
842,ALB,-407,9855
842,ALO,-332,9412
842,BOT,-732,6774
842,COL,-606,8052
842,GAS,-141,8592
842,HAM,2809,14264
842,HUL,2712,6433
842,LEC,6507,14523
842,MAG,-203,8904
842,NOR,5616,14476
842,OCO,-141,8585
842,PER,153,12765
842,PIA,6772,14610
842,RIC,-269,9152
842,RUS,704,13391
842,SAI,4514,14422
842,STR,-547,8190
842,TSU,-1498,-3329
842,VER,1567,13932
842,ZHO,-817,5764
844,ALB,-376,11233
844,ALO,-423,10621
844,BOT,-626,7957
844,COL,-259,8334
844,GAS,-302,9286
844,HAM,4618,14428
844,HUL,2535,5524
844,LEC,6990,14904
844,MAG,-395,9755
844,NOR,6706,14578
844,OCO,-275,9177
844,PER,1519,13910
844,PIA,7206,15057
844,RIC,-425,10201
844,RUS,2323,14178
844,SAI,6177,14497
844,STR,-173,8410
844,TSU,-1491,-2582
844,VER,3314,14324
844,ZHO,-675,7460
846,ALB,63,12619
846,ALO,-212,12004
846,BOT,-358,8310
846,COL,-149,8674
846,GAS,-427,10430
846,HAM,6167,14497
846,HUL,2022,4638
846,LEC,7605,15159
846,MAG,-403,10968
846,NOR,7098,14998
846,OCO,-425,10175
846,PER,3137,14306
846,PIA,8074,15269
846,RIC,-335,11513
846,RUS,4021,14384
846,SAI,6863,14682
846,STR,-183,8828
846,TSU,-1472,-2098
846,VER,5002,14450
846,ZHO,-539,8201
848,ALB,1366,13835
848,ALO,741,13422
848,BOT,-143,8615
848,COL,-319,9357
848,GAS,-232,11940
848,HAM,6904,14747
848,HUL,1684,3257
848,LEC,8785,15511
848,MAG,4,12511
848,NOR,7959,15235
848,OCO,-305,11660
848,PER,5046,14453
848,PIA,9332,15710
848,RIC,350,13035
848,RUS,5912,14488
848,SAI,7363,15109
848,STR,-391,9727
848,TSU,-1317,-1641
848,VER,6457,14515
848,ZHO,-165,8429
850,ALB,2898,14276
850,ALO,2257,14163
850,BOT,-264,9135
850,COL,-427,10384
850,GAS,516,13217
850,HAM,7370,15111
850,HUL,1549,1807
850,LEC,9942,15879
850,MAG,1029,13636
850,NOR,9020,15601
850,OCO,316,12992
850,PER,6360,14506
850,PIA,10409,15800
850,RIC,1691,13986
850,RUS,6767,14607
850,SAI,8232,15318
850,STR,-406,10931
850,TSU,-1278,-1201
850,VER,6937,14821
850,ZHO,-179,8811
852,ALB,4658,14431
852,ALO,4020,14384
852,BOT,-424,10148
852,COL,-278,11775
852,GAS,2010,14099
852,HAM,8362,15357
852,HUL,1396,137
852,LEC,10792,15410
852,MAG,2647,14239
852,NOR,10175,15872
852,OCO,1723,13999
852,PER,6907,14756
852,PIA,10921,14906
852,RIC,3408,14333
852,RUS,7164,15037
852,SAI,9437,15745
852,STR,-63,12375
852,TSU,-1231,-762
852,VER,7498,15139
852,ZHO,-367,9580
854,ALB,6164,14497
854,ALO,5717,14481
854,BOT,-339,11490
854,COL,438,13136
854,GAS,3691,14355
854,HAM,9551,15783
854,HUL,1241,-1545
854,LEC,10976,14250
854,MAG,4417,14415
854,NOR,10856,15244
854,OCO,3410,14333
854,PER,7395,15117
854,PIA,11022,13674
854,RIC,5185,14459
854,RUS,7947,15231
854,SAI,10502,15747
854,STR,959,13588
854,TSU,-1190,-384
854,VER,8518,15409
854,ZHO,-415,10796
856,ALB,6848,14666
856,ALO,6671,14565
856,BOT,241,12893
856,COL,1818,14035
856,GAS,5438,14470
856,HAM,10554,15709
856,HUL,1082,-3279
856,LEC,11066,13000
856,MAG,6039,14492
856,NOR,10987,14086
856,OCO,5192,14460
856,PER,8385,15365
856,PIA,10947,12613
856,RIC,6464,14516
856,RUS,9050,15612
856,SAI,10929,14840
856,STR,2551,14223
856,TSU,-1135,126
856,VER,9729,15837
856,ZHO,-133,12217
858,ALB,7288,15088
858,ALO,7060,14970
858,BOT,1622,13957
858,COL,3592,14347
858,GAS,6529,14527
858,HAM,10942,14711
858,HUL,877,-4978
858,LEC,10493,12266
858,MAG,6820,14642
858,NOR,11049,12862
858,OCO,6464,14516
858,PER,9639,15811
858,PIA,10008,12020
858,RIC,6956,14856
858,RUS,10246,15858
858,SAI,11039,13497
858,STR,4332,14409
858,TSU,-1089,561
858,VER,10699,15564
858,ZHO,886,13535
860,ALB,8161,15296
860,ALO,7757,15186
860,BOT,3246,14318
860,COL,5330,14465
860,GAS,6955,14855
860,HAM,11042,13473
860,HUL,257,-5771
860,LEC,9448,11718
860,MAG,7211,15059
860,NOR,10390,12213
860,OCO,6924,14795
860,PER,10624,15649
860,PIA,8822,11365
860,RIC,7501,15140
860,RUS,10863,15217
860,SAI,10894,12545
860,STR,5936,14489
860,TSU,-1058,853
860,VER,10959,14513
860,ZHO,2430,14200
862,ALB,9453,15750
862,ALO,9009,15597
862,BOT,5168,14458
862,COL,6600,14543
862,GAS,7626,15162
862,HAM,10791,12447
862,HUL,-886,-5347
862,LEC,8025,10914
862,MAG,8151,15293
862,NOR,9099,11524
862,OCO,7516,15143
862,PER,10956,14548
862,PIA,7347,10464
862,RIC,8617,15446
862,RUS,11001,13901
862,SAI,9874,11948
862,STR,6822,14643
862,TSU,-1050,933
862,VER,11067,13097
862,ZHO,4354,14410
864,ALB,10448,15780
864,ALO,10115,15879
864,BOT,6450,14514
864,COL,6991,14904
864,GAS,8652,15459
864,HAM,9847,11933
864,HUL,-1432,-4150
864,LEC,6719,9942
864,MAG,9227,15674
864,NOR,7822,10793
864,OCO,8486,15398
864,PER,11056,13317
864,PIA,6114,9416
864,RIC,9800,15855
864,RUS,11034,12797
864,SAI,8709,11301
864,STR,7214,15060
864,TSU,-1050,933
864,VER,10639,12346
864,ZHO,5923,14488
866,ALB,10906,15010
866,ALO,10799,15395
866,BOT,6917,14778
866,COL,7558,15150
866,GAS,9759,15845
866,HAM,8716,11305
866,HUL,-1494,-2704
866,LEC,5478,8863
866,MAG,10278,15850
866,NOR,6580,9821
866,OCO,9595,15797
866,PER,10825,12476
866,PIA,4901,8361
866,RIC,10662,15608
866,RUS,10409,12223
866,SAI,7426,10525
866,STR,8023,15254
866,TSU,-1050,933
866,VER,9677,11841
866,ZHO,6717,14583
868,ALB,11007,13837
868,ALO,10973,14300
868,BOT,7423,15124
868,COL,8570,15428
868,GAS,10653,15618
868,HAM,7416,10517
868,HUL,-1407,-1085
868,LEC,4127,7689
868,MAG,10876,15169
868,NOR,5300,8708
868,OCO,10532,15726
868,PER,9904,11964
868,PIA,3650,7274
868,RIC,10946,14664
868,RUS,9337,11658
868,SAI,6168,9463
868,STR,9135,15643
868,TSU,-1050,933
868,VER,8449,11156
868,ZHO,7068,14976
870,ALB,11011,12733
870,ALO,11067,13085
870,BOT,8430,15379
870,COL,9784,15852
870,GAS,10951,14614
870,HAM,6106,9409
870,HUL,-1255,681
870,LEC,2870,6590
870,MAG,10996,13972
870,NOR,3950,7535
870,OCO,10930,14829
870,PER,8687,11289
870,PIA,2623,6313
870,RIC,11048,13409
870,RUS,8037,10922
870,SAI,4825,8295
870,STR,10268,15852
870,TSU,-1050,933
870,VER,7104,10266
870,ZHO,7804,15196
872,ALB,10153,12095
872,ALO,10550,12296
872,BOT,9750,15843
872,COL,10725,15527
872,GAS,11059,13276
872,HAM,4653,8146
872,HUL,-1085,2650
872,LEC,2544,5649
872,MAG,11022,12761
872,NOR,2712,6434
872,OCO,11041,13485
872,PER,7218,10359
872,PIA,2454,5213
872,RIC,10792,12449
872,RUS,6609,9846
872,SAI,3373,7033
872,STR,10901,15044
872,TSU,-1050,933
872,VER,5688,9046
872,ZHO,9062,15617
874,ALB,9020,11478
874,ALO,9475,11733
874,BOT,10667,15602
874,COL,10957,14529
874,GAS,10794,12450
874,HAM,3329,6995
874,HUL,-933,4415
874,LEC,2109,4728
874,MAG,10317,12177
874,NOR,2534,5517
874,OCO,10925,12583
874,PER,5964,9285
874,PIA,1798,4189
874,RIC,9891,11956
874,RUS,5328,8732
874,SAI,2565,6162
874,STR,11004,13872
874,TSU,-1050,933
874,VER,4382,7910
874,ZHO,10167,15873
876,ALB,7704,10718
876,ALO,8197,11013
876,BOT,10953,14583
876,COL,11059,13269
876,GAS,9840,11929
876,HAM,2555,6114
876,HUL,-779,6213
876,LEC,1707,3501
876,MAG,9179,11570
876,NOR,1938,4528
876,OCO,10045,12039
876,PER,4643,8137
876,PIA,1632,2703
876,RIC,8674,11281
876,RUS,3986,7566
876,SAI,2430,5156
876,STR,11023,12765
876,TSU,-1050,933
876,VER,3089,6786
876,ZHO,10838,15297
878,ALB,6459,9716
878,ALO,6881,10083
878,BOT,11051,13370
878,COL,10797,12453
878,GAS,8672,11281
878,HAM,2422,5140
878,HUL,-656,7684
878,LEC,1568,2010
878,MAG,7915,10850
878,NOR,1675,3171
878,OCO,8896,11407
878,PER,3355,7017
878,PIA,1491,1171
878,RIC,7365,10478
878,RUS,2835,6558
878,SAI,1800,4196
878,STR,10339,12188
878,TSU,-1050,933
878,VER,2545,5948
878,ZHO,10980,14189
880,ALB,5106,8540
880,ALO,5486,8870
880,BOT,10820,12472
880,COL,9783,11898
880,GAS,7271,10403
880,HAM,1765,4038
880,HUL,-426,8293
880,LEC,1410,286
880,MAG,6493,9746
880,NOR,1524,1535
880,OCO,7483,10567
880,PER,2559,6130
880,PIA,1329,-595
880,RIC,5980,9299
880,RUS,2544,5649
880,SAI,1632,2704
880,STR,9147,11551
880,TSU,-1050,933
880,VER,2269,4900
880,ZHO,11060,12935
882,ALB,3758,7368
882,ALO,4124,7686
882,BOT,9873,11947
882,COL,8543,11208
882,GAS,5948,9271
882,HAM,1615,2519
882,HUL,-143,8529
882,LEC,1247,-1482
882,MAG,5110,8543
882,NOR,1367,-177
882,OCO,6133,9432
882,PER,2431,5159
882,PIA,1171,-2307
882,RIC,4576,8079
882,RUS,2032,4649
882,SAI,1483,1083
882,STR,7823,10794
882,TSU,-1050,933
882,VER,1730,3759
882,ZHO,10501,12270
884,ALB,2555,6110
884,ALO,2670,6383
884,BOT,8159,10992
884,COL,6699,9925
884,GAS,4038,7611
884,HAM,1407,253
884,HUL,-318,9354
884,LEC,1021,-3923
884,MAG,3185,6870
884,NOR,1142,-2622
884,OCO,4206,7756
884,PER,1717,3609
884,PIA,927,-4726
884,RIC,2830,6553
884,RUS,1633,2717
884,SAI,1260,-1346
884,STR,6008,9324
884,TSU,-1050,933
884,VER,1532,1622
884,ZHO,8963,11446
886,ALB,2536,5529
886,ALO,2545,5915
886,BOT,7360,10474
886,COL,5927,9253
886,GAS,3258,6933
886,HAM,1312,-774
886,HUL,-417,9980
886,LEC,899,-4877
886,MAG,2664,6375
886,NOR,1046,-3665
886,OCO,3406,7062
886,PER,1630,2684
886,PIA,729,-5391
886,RIC,2557,6116
886,RUS,1547,1781
886,SAI,1164,-2391
886,STR,5228,8645
886,TSU,-1050,933
886,VER,1443,647
886,ZHO,8190,11009
888,ALB,2009,4623
888,ALO,2328,4977
888,BOT,6163,9458
888,COL,4687,8175
888,GAS,2574,6196
888,HAM,1160,-2435
888,HUL,-380,11204
888,LEC,385,-5722
888,MAG,2540,5575
888,NOR,849,-5087
888,OCO,2630,6324
888,PER,1494,1200
888,PIA,-80,-5795
888,RIC,2468,5249
888,RUS,1403,219
888,SAI,1010,-4035
888,STR,3970,7552
888,TSU,-1050,933
888,VER,1295,-960
888,ZHO,6928,10123
890,ALB,1667,3097
890,ALO,1723,3678
890,BOT,4681,8170
890,COL,3207,6889
890,GAS,2408,5110
890,HAM,968,-4423
890,HUL,181,12807
890,LEC,-812,-5423
890,MAG,1929,4514
890,NOR,33,-5801
890,OCO,2490,5314
890,PER,1317,-720
890,PIA,-1155,-4962
890,RIC,1783,4127
890,RUS,1221,-1760
890,SAI,644,-5517
890,STR,2715,6437
890,TSU,-1050,933
890,VER,1113,-2946
890,ZHO,5468,8854
892,ALB,1532,1616
892,ALO,1583,2174
892,BOT,3423,7076
892,COL,2558,6125
892,GAS,1788,4146
892,HAM,641,-5520
892,HUL,1363,13833
892,LEC,-1404,-4284
892,MAG,1683,3247
892,NOR,-965,-5254
892,OCO,1865,4392
892,PER,1161,-2423
892,PIA,-1492,-3589
892,RIC,1634,2733
892,RUS,1064,-3474
892,SAI,-265,-5755
892,STR,2542,5602
892,TSU,-1050,933
892,VER,945,-4601
892,ZHO,4175,7730
894,ALB,1360,-251
894,ALO,1414,337
894,BOT,2558,6126
894,COL,2372,5045
894,GAS,1614,2507
894,HAM,-387,-5710
894,HUL,3199,14313
894,LEC,-1490,-2562
894,MAG,1523,1524
894,NOR,-1482,-3762
894,OCO,1639,2786
894,PER,966,-4445
894,PIA,-1457,-1815
894,RIC,1472,962
894,RUS,808,-5214
894,SAI,-1253,-4758
894,STR,1942,4533
894,TSU,-1050,933
894,VER,392,-5718
894,ZHO,2864,6585
896,ALB,1204,-1954
896,ALO,1254,-1411
896,BOT,2430,5155
896,COL,1756,3987
896,GAS,1466,895
896,HAM,-1242,-4783
896,HUL,4946,14448
896,LEC,-1388,-842
896,MAG,1368,-163
896,NOR,-1476,-2185
896,OCO,1492,1177
896,PER,552,-5611
896,PIA,-1323,-101
896,RIC,1314,-756
896,RUS,106,-5798
896,SAI,-1499,-3295
896,STR,1677,3193
896,TSU,-1050,933
896,VER,-671,-5544
896,ZHO,2546,5801
898,ALB,1065,-3463
898,ALO,1114,-2926
898,BOT,1837,4319
898,COL,1633,2719
898,GAS,1333,-549
898,HAM,-1494,-3538
898,HUL,6255,14500
898,LEC,-1256,671
898,MAG,1227,-1705
898,NOR,-1376,-696
898,OCO,1357,-283
898,PER,-247,-5760
898,PIA,-1193,1405
898,RIC,1175,-2267
898,RUS,-742,-5487
898,SAI,-1464,-1939
898,STR,1556,1882
898,TSU,-1050,933
898,VER,-1303,-4629
898,ZHO,2323,4969
900,ALB,824,-5166
900,ALO,923,-4746
900,BOT,1641,2804
900,COL,1476,1013
900,GAS,1163,-2395
900,HAM,-1458,-1836
900,HUL,6903,14747
900,LEC,-1089,2609
900,MAG,1050,-3620
900,NOR,-1210,1209
900,OCO,1185,-2157
900,PER,-1211,-4851
900,PIA,-1022,3385
900,RIC,991,-4219
900,RUS,-1410,-4259
900,SAI,-1318,-35
900,STR,1394,111
900,TSU,-1050,933
900,VER,-1499,-3045
900,ZHO,1734,3802
902,ALB,164,-5791
902,ALO,489,-5660
902,BOT,1501,1278
902,COL,1325,-632
902,GAS,1006,-4078
902,HAM,-1333,-212
902,HUL,7389,15116
902,LEC,-933,4420
902,MAG,845,-5098
902,NOR,-1057,2976
902,OCO,1027,-3862
902,PER,-1495,-3499
902,PIA,-871,5134
902,RIC,686,-5461
902,RUS,-1496,-2798
902,SAI,-1167,1701
902,STR,1243,-1527
902,TSU,-1050,933
902,VER,-1433,-1449
902,ZHO,1601,2363
904,ALB,-928,-5298
904,ALO,-660,-5553
904,BOT,1332,-557
904,COL,1150,-2543
904,GAS,686,-5461
904,HAM,-1166,1718
904,HUL,8431,15380
904,LEC,-755,6503
904,MAG,103,-5798
904,NOR,-885,4978
904,OCO,763,-5324
904,PER,-1455,-1772
904,PIA,-709,7047
904,RIC,-241,-5761
904,RUS,-1400,-1001
904,SAI,-998,3668
904,STR,1067,-3436
904,TSU,-1050,933
904,VER,-1276,441
904,ZHO,1439,609
906,ALB,-1427,-4176
906,ALO,-1323,-4574
906,BOT,1181,-2198
906,COL,997,-4159
906,GAS,-93,-5793
906,HAM,-1022,3386
906,HUL,9522,15773
906,LEC,-649,7761
906,MAG,-770,-5461
906,NOR,-744,6634
906,OCO,78,-5800
906,PER,-1330,-180
906,PIA,-604,8060
906,RIC,-1083,-5086
906,RUS,-1262,595
906,SAI,-854,5339
906,STR,877,-4977
906,TSU,-1050,933
906,VER,-1134,2092
906,ZHO,1296,-954
908,ALB,-1495,-2725
908,ALO,-1500,-3162
908,BOT,1029,-3845
908,COL,716,-5414
908,GAS,-1016,-5186
908,HAM,-873,5111
908,HUL,10494,15752
908,LEC,-461,8276
908,MAG,-1373,-4409
908,NOR,-637,7878
908,OCO,-921,-5307
908,PER,-1183,1523
908,PIA,-283,8326
908,RIC,-1473,-3857
908,RUS,-1116,2301
908,SAI,-708,7052
908,STR,331,-5745
908,TSU,-1050,933
908,VER,-985,3819
908,ZHO,1144,-2601
910,ALB,-1397,-957
910,ALO,-1433,-1439
910,BOT,734,-5382
910,COL,-137,-5785
910,GAS,-1472,-3870
910,HAM,-713,6999
910,HUL,10939,14747
910,LEC,-144,8518
910,MAG,-1495,-2764
910,NOR,-340,8314
910,OCO,-1466,-3927
910,PER,-1013,3492
910,PIA,-155,8711
910,RIC,-1476,-2170
910,RUS,-945,4278
910,SAI,-582,8123
910,STR,-762,-5469
910,TSU,-1050,933
910,VER,-815,5784
910,ZHO,962,-4475
912,ALB,-1247,771
912,ALO,-1284,340
912,BOT,-72,-5795
912,COL,-1023,-5176
912,GAS,-1483,-2354
912,HAM,-625,7965
912,HUL,11041,13485
912,LEC,-232,9010
912,MAG,-1410,-1127
912,NOR,-142,8594
912,OCO,-1485,-2409
912,PER,-854,5335
912,PIA,-320,9363
912,RIC,-1357,-476
912,RUS,-783,6169
912,SAI,-231,8348
912,STR,-1396,-4320
912,TSU,-1050,933
912,VER,-681,7385
912,ZHO,590,-5576
914,ALB,-1093,2560
914,ALO,-1128,2158
914,BOT,-1023,-5175
914,COL,-1471,-3885
914,GAS,-1365,-572
914,HAM,-323,8317
914,HUL,10882,12532
914,LEC,-413,9930
914,MAG,-1262,600
914,NOR,-265,9137
914,OCO,-1373,-664
914,PER,-700,7150
914,PIA,-426,10485
914,RIC,-1202,1301
914,RUS,-655,7692
914,SAI,-159,8727
914,STR,-1496,-2807
914,TSU,-1050,933
914,VER,-551,8183
914,ZHO,-338,-5730
916,ALB,-943,4306
916,ALO,-973,3954
916,BOT,-1466,-3925
916,COL,-1486,-2437
916,GAS,-1218,1108
916,HAM,-143,8623
916,HUL,10008,12019
916,LEC,-382,11185
916,MAG,-1110,2365
916,NOR,-421,10072
916,OCO,-1222,1063
916,PER,-598,8079
916,PIA,-267,11815
916,RIC,-1049,3077
916,RUS,-473,8269
916,SAI,-321,9365
916,STR,-1417,-1225
916,TSU,-1050,933
916,VER,-197,8376
916,ZHO,-1188,-4899
918,ALB,-768,6339
918,ALO,-797,6004
918,BOT,-1480,-2257
918,COL,-1367,-597
918,GAS,-1071,2817
918,HAM,-309,9317
918,HUL,8710,11302
918,LEC,135,12737
918,MAG,-932,4434
918,NOR,-325,11565
918,OCO,-1061,2932
918,PER,-212,8361
918,PIA,576,13276
918,RIC,-873,5115
918,RUS,-144,8524
918,SAI,-423,10623
918,STR,-1260,619
918,TSU,-1050,933
918,VER,-182,8824
918,ZHO,-1498,-3331
920,ALB,-661,7624
920,ALO,-678,7417
920,BOT,-1378,-727
920,COL,-1227,1011
920,GAS,-927,4492
920,HAM,-427,10320
920,HUL,7484,10567
920,LEC,1243,13768
920,MAG,-778,6221
920,NOR,216,12857
920,OCO,-911,4680
920,PER,-158,8721
920,PIA,1913,14068
920,RIC,-728,6819
920,RUS,-217,8957
920,SAI,-242,11907
920,STR,-1119,2261
920,TSU,-1050,933
920,VER,-346,9480
920,ZHO,-1460,-1872
922,ALB,-460,8277
922,ALO,-528,8216
922,BOT,-1197,1359
922,COL,-1040,3174
922,GAS,-747,6589
922,HAM,-224,11964
922,HUL,5945,9269
922,LEC,3199,14313
922,MAG,-638,7870
922,NOR,1774,14019
922,OCO,-711,7017
922,PER,-359,9540
922,PIA,3911,14375
922,RIC,-600,8072
922,RUS,-420,10045
922,SAI,786,13458
922,STR,-930,4451
922,TSU,-1050,933
922,VER,-410,10872
922,ZHO,-1302,137
924,ALB,-156,8459
924,ALO,-193,8380
924,BOT,-1050,3058
924,COL,-890,4914
924,GAS,-667,7548
924,HAM,523,13224
924,HUL,4714,8198
924,LEC,4862,14443
924,MAG,-436,8288
924,NOR,3350,14328
924,OCO,-624,7970
924,PER,-422,10636
924,PIA,5516,14472
924,RIC,-290,8324
924,RUS,-369,11292
924,SAI,2241,14160
924,STR,-779,6215
924,TSU,-1050,933
924,VER,-137,12206
924,ZHO,-1157,1815
926,ALB,-231,9008
926,ALO,-184,8834
926,BOT,-887,4951
926,COL,-724,6868
926,GAS,-537,8202
926,HAM,2097,14123
926,HUL,3365,7026
926,LEC,6390,14508
926,MAG,-144,8522
926,NOR,5220,14461
926,OCO,-312,8319
926,PER,-172,12115
926,PIA,6687,14571
926,RIC,-149,8676
926,RUS,164,12781
926,SAI,4051,14387
926,STR,-656,7683
926,TSU,-1050,933
926,VER,875,13527
926,ZHO,-992,3735
928,ALB,-413,9925
928,ALO,-370,9600
928,BOT,-740,6681
928,COL,-624,7967
928,GAS,-207,8366
928,HAM,3730,14359
928,HUL,2577,6208
928,LEC,6912,14765
928,MAG,-224,8981
928,NOR,6453,14514
928,OCO,-143,8622
928,PER,678,13369
928,PIA,7075,14982
928,RIC,-295,9257
928,RUS,1361,13832
928,SAI,5714,14481
928,STR,-493,8253
928,TSU,-1050,933
928,VER,2389,14192
928,ZHO,-842,5478
930,ALB,-391,11101
930,ALO,-418,10724
930,BOT,-642,7829
930,COL,-371,8308
930,GAS,-172,8788
930,HAM,5326,14465
930,HUL,2501,5349
930,LEC,7358,15108
930,MAG,-393,9740
930,NOR,6922,14789
930,OCO,-269,9153
930,PER,2062,14114
930,PIA,7732,15181
930,RIC,-425,10189
930,RUS,2855,14270
930,SAI,6651,14559
930,STR,-169,8418
930,TSU,-1050,933
930,VER,3941,14377
930,ZHO,-705,7096
932,ALB,82,12650
932,ALO,-113,12266
932,BOT,-368,8308
932,COL,-142,8610
932,GAS,-389,9712
932,HAM,6613,14547
932,HUL,1823,4276
932,LEC,8379,15362
932,MAG,-390,11103
932,NOR,7529,15145
932,OCO,-425,10206
932,PER,3932,14376
932,PIA,8914,15562
932,RIC,-307,11653
932,RUS,4791,14439
932,SAI,7109,15005
932,STR,-206,8916
932,TSU,-1050,933
932,VER,5803,14484
932,ZHO,-597,8082
934,ALB,1533,13917
934,ALO,1027,13635
934,BOT,-143,8621
934,COL,-294,9253
934,GAS,-378,11215
934,HAM,7090,14993
934,HUL,1631,2692
934,LEC,9730,15838
934,MAG,105,12689
934,NOR,8708,15481
934,OCO,-287,11740
934,PER,5852,14486
934,PIA,10236,15861
934,RIC,486,13186
934,RUS,6429,14511
934,SAI,7965,15236
934,STR,-412,9915
934,TSU,-1050,933
934,VER,6805,14630
934,ZHO,-213,8360
936,ALB,3125,14305
936,ALO,2590,14229
936,BOT,-269,9153
936,COL,-426,10237
936,GAS,55,12605
936,HAM,7827,15201
936,HUL,1490,1159
936,LEC,10673,15596
936,MAG,1242,13767
936,NOR,9875,15870
936,OCO,393,13086
936,PER,6718,14583
936,PIA,10874,15177
936,RIC,1843,14044
936,RUS,6927,14801
936,SAI,9052,15613
936,STR,-383,11171
936,TSU,-1050,933
936,VER,7186,15047
936,ZHO,-158,8722
938,ALB,4736,14436
938,ALO,4189,14398
938,BOT,-420,10047
938,COL,-344,11456
938,GAS,1181,13733
938,HAM,8835,15531
938,HUL,1348,-386
938,LEC,10947,14656
938,MAG,2730,14252
938,NOR,10698,15565
938,OCO,1773,14018
938,PER,7064,14973
938,PIA,10987,14079
938,RIC,3392,14331
938,RUS,7387,15115
938,SAI,10123,15878
938,STR,-10,12483
938,TSU,-1050,933
938,VER,7941,15229
938,ZHO,-309,9315
940,ALB,6182,14497
940,ALO,5825,14485
940,BOT,-368,11297
940,COL,178,12803
940,GAS,2757,14256
940,HAM,9998,15882
940,HUL,1193,-2071
940,LEC,11048,13411
940,MAG,4447,14417
940,NOR,10956,14556
940,OCO,3381,14330
940,PER,7734,15181
940,PIA,11058,12916
940,RIC,5180,14459
940,RUS,8332,15348
940,SAI,10821,15343
940,STR,1009,13623
940,TSU,-1050,933
940,VER,9008,15597
940,ZHO,-427,10362
942,ALB,6929,14805
942,ALO,6810,14635
942,BOT,334,13015
942,COL,1801,14029
942,GAS,4892,14445
942,HAM,10869,15197
942,HUL,993,-4202
942,LEC,10648,12351
942,MAG,6323,14503
942,NOR,11067,13058
942,OCO,5514,14472
942,PER,9098,15629
942,PIA,10161,12099
942,RIC,6656,14560
942,RUS,9796,15855
942,SAI,11003,13880
942,STR,3026,14293
942,TSU,-1050,933
942,VER,10414,15798
942,ZHO,-190,12068
944,ALB,7374,15112
944,ALO,7118,15010
944,BOT,1445,13875
944,COL,3243,14318
944,GAS,6118,14495
944,HAM,10979,14200
944,HUL,750,-5352
944,LEC,9785,11899
944,MAG,6854,14673
944,NOR,10698,12382
944,OCO,6493,14520
944,PER,10123,15878
944,PIA,9158,11558
944,RIC,6996,14910
944,RUS,10579,15689
944,SAI,11048,12857
944,STR,4500,14421
944,TSU,-1050,933
944,VER,10889,15110
944,ZHO,513,13214
946,ALB,8394,15367
946,ALO,8016,15251
946,BOT,3203,14313
946,COL,5115,14456
946,GAS,6831,14650
946,HAM,11057,12910
946,HUL,-175,-5778
946,LEC,8441,11152
946,MAG,7319,15097
946,NOR,9552,11773
946,OCO,6985,14897
946,PER,10866,15208
946,PIA,7756,10752
946,RIC,7676,15171
946,RUS,10946,14666
946,SAI,10324,12180
946,STR,6166,14497
946,TSU,-1050,933
946,VER,11011,13786
946,ZHO,2075,14117
948,ALB,9508,15769
948,ALO,9066,15618
948,BOT,4843,14442
948,COL,6419,14510
948,GAS,7193,15051
948,HAM,10505,12272
948,HUL,-1053,-5132
948,LEC,7188,10334
948,MAG,8123,15284
948,NOR,8384,11119
