t,driver,x,y
22,NOR,-426,10230
22,OCO,-1198,1344
22,PER,-934,4411
22,PIA,-344,9470
22,RIC,-1091,2590
22,RUS,-226,8986
22,SAI,-195,8381
22,STR,-1242,831
22,TSU,-1208,1230
22,VER,-859,5281
22,ZHO,-1274,464
24,ALB,-1113,2332
24,ALO,-1066,2877
24,BOT,-1247,782
24,COL,-1207,1241
24,GAS,-1186,1487
24,HAM,-630,7931
24,HUL,-1156,1830
24,LEC,-171,8776
24,MAG,-1081,2700
24,NOR,-399,11014
24,OCO,-1185,1499
24,PER,-842,5479
24,PIA,-420,10044
24,RIC,-1084,2676
24,RUS,-320,9361
24,SAI,-143,8605
24,STR,-1232,948
24,TSU,-1196,1370
24,VER,-757,6483
24,ZHO,-1256,672
26,ALB,-1024,3373
26,ALO,-1057,2979
26,BOT,-1231,960
26,COL,-1192,1419
26,GAS,-1091,2590
26,HAM,-374,8307
26,HUL,-1094,2558
26,LEC,-262,9126
26,MAG,-1066,2876
26,NOR,-181,12091
26,OCO,-1169,1687
26,PER,-724,6868
26,PIA,-404,10949
26,RIC,-1076,2766
26,RUS,-415,9956
26,SAI,-187,8841
26,STR,-1223,1060
26,TSU,-1183,1519
26,VER,-649,7760
26,ZHO,-1239,870
28,ALB,-781,6187
28,ALO,-1042,3155
28,BOT,-1223,1053
28,COL,-1184,1509
28,GAS,-1078,2738
28,HAM,-143,8542
28,HUL,-1006,3580
28,LEC,-394,9747
28,MAG,-1052,3037
28,NOR,443,13141
28,OCO,-1100,2489
28,PER,-640,7854
28,PIA,-190,12067
28,RIC,-1068,2851
28,RUS,-422,10644
28,SAI,-270,9158
28,STR,-1215,1146
28,TSU,-1172,1647
28,VER,-459,8277
28,ZHO,-1225,1038
30,ALB,-673,7486
30,ALO,-1011,3519
30,BOT,-1217,1126
30,COL,-1179,1571
30,GAS,-1066,2874
30,HAM,-223,8976
30,HUL,-765,6389
30,LEC,-418,10733
30,MAG,-1039,3193
30,NOR,1565,13931
30,OCO,-1089,2610
30,PER,-453,8280
30,PIA,472,13172
30,RIC,-1049,3073
30,RUS,-310,11638
30,SAI,-392,9732
30,STR,-1209,1220
30,TSU,-1162,1765
30,VER,-193,8384
30,ZHO,-1213,1173
32,ALB,-560,8168
32,ALO,-944,4296
32,BOT,-1211,1193
32,COL,-1174,1628
32,GAS,-1054,3015
32,HAM,-389,9714
32,HUL,-679,7415
32,LEC,-200,12038
32,MAG,-1023,3379
32,NOR,3137,14306
32,OCO,-1077,2750
32,PER,-168,8427
32,PIA,1783,14022
32,RIC,-997,3680
32,RUS,267,12928
32,SAI,-417,10749
32,STR,-1201,1307
32,TSU,-1152,1886
32,VER,-143,8611
32,ZHO,-1203,1294
34,ALB,-274,8328
34,ALO,-852,5362
34,BOT,-1207,1247
34,COL,-1170,1673
34,GAS,-1043,3140
34,HAM,-423,10610
34,HUL,-609,8041
34,LEC,503,13204
34,MAG,-985,3817
34,NOR,4680,14433
34,OCO,-1065,2887
34,PER,-154,8700
34,PIA,3269,14320
34,RIC,-916,4620
34,RUS,1411,13858
34,SAI,-235,11929
34,STR,-1194,1390
34,TSU,-1143,1990
34,VER,-232,9010
34,ZHO,-1195,1382
36,ALB,-143,8618
36,ALO,-738,6699
36,BOT,-1202,1296
36,COL,-1166,1714
36,GAS,-1017,3451
36,HAM,-278,11772
36,HUL,-328,8315
36,LEC,1866,14052
36,MAG,-901,4791
36,NOR,6136,14496
36,OCO,-1053,3028
36,PER,-315,9341
36,PIA,4946,14448
36,RIC,-802,5942
36,RUS,3096,14302
36,SAI,495,13196
36,STR,-1187,1474
36,TSU,-1133,2100
36,VER,-414,9937
36,ZHO,-1188,1458
38,ALB,-275,9176
38,ALO,-642,7827
38,BOT,-1199,1336
38,COL,-1163,1750
38,GAS,-965,4054
38,HAM,272,12935
38,HUL,-143,8622
38,LEC,3508,14341
38,MAG,-790,6083
38,NOR,6844,14663
